Feature,CorrectnessTest,PerformanceTest
Chunked Prefill,✅ Passing,✅ Passing
DCN-based P/D disaggregation,✅ Passing,✅ Passing
KV cache host offloading,❓ Untested,❓ Untested
LoRA_Torch,✅ Passing,✅ Passing
Multimodal Inputs,❌ Failing,⚪ N/A
Out-of-tree model support,✅ Passing,✅ Passing
Prefix Caching,✅ Passing,✅ Passing
Single Program Multi Data,✅ Passing,✅ Passing
Single-Host-P-D-disaggregation,✅ Passing,⚪ N/A
Speculative Decoding: Eagle3,✅ Passing,✅ Passing
Speculative Decoding: Ngram,✅ Passing,✅ Passing
async scheduler,✅ Passing,❌ Failing
hybrid kv cache,✅ Passing,⚪ N/A
multi-host,⚪ N/A,⚪ N/A
runai_model_streamer_loader,✅ Passing,⚪ N/A
sampling_params,✅ Passing,⚪ N/A
structured_decoding,✅ Passing,⚪ N/A
