Feature,CorrectnessTest,PerformanceTest
"Chunked Prefill",✅ Passing,✅ Passing
"DCN-based P/D disaggregation",✅ Passing,✅ Passing
"KV cache host offloading",❓ Untested,❓ Untested
"LoRA_Torch",✅ Passing,✅ Passing
"Multimodal Inputs",❌ Failing,❓ Untested
"Out-of-tree model support",✅ Passing,❌ Failing
"Prefix Caching",✅ Passing,✅ Passing
"Single Program Multi Data",✅ Passing,✅ Passing
"Single-Host-P-D-disaggregation",✅ Passing,❓ Untested
"Speculative Decoding: Eagle3",❌ Failing,❓ Untested
"Speculative Decoding: Ngram",✅ Passing,✅ Passing
"async scheduler",❌ Failing,❓ Untested
"hybrid kv cache",❌ Failing,❓ Untested
"multi-host",❓ Untested,❓ Untested
"runai_model_streamer_loader",✅ Passing,❓ Untested
"sampling_params",✅ Passing,❓ Untested
"structured_decoding",✅ Passing,❓ Untested
