Model,Type,UnitTest,Accuracy/Correctness,Benchmark
"Qwen/Qwen2.5-VL-7B-Instruct",Multimodal,✅ Passing,❌ Failing,❓ Untested
"Qwen/Qwen3-Omni-30B-A3B-Instruct",Multimodal,❓ Untested,❓ Untested,❓ Untested
"meta-llama/Llama-4-Maverick-17B-128E-Instruct",Multimodal,❓ Untested,❓ Untested,❓ Untested
"meta-llama/Llama-Guard-4-12B/Multimodal",Multimodal,✅ Passing,✅ Passing,✅ Passing
"Qwen/Qwen3-30B-A3B",Text,✅ Passing,❌ Failing,❓ Untested
"Qwen/Qwen3-32B",Text,✅ Passing,✅ Passing,✅ Passing
"Qwen/Qwen3-4B",Text,✅ Passing,❌ Failing,❓ Untested
"Qwen/Qwen3-Coder-480B-A35B-Instruct",Text,✅ Passing,✅ Passing,✅ Passing
"deepseek-ai/DeepSeek-V3.1",Text,❓ Untested,❓ Untested,❓ Untested
"google/gemma-3-27b-it",Text,✅ Passing,✅ Passing,✅ Passing
"meta-llama/Llama-3.1-8B-Instruct",Text,✅ Passing,✅ Passing,✅ Passing
"meta-llama/Llama-3.3-70B-Instruct",Text,✅ Passing,✅ Passing,✅ Passing
"meta-llama/Llama-Guard-4-12B/Text-Only",Text,✅ Passing,✅ Passing,✅ Passing
"moonshotai/Kimi-K2-Thinking",Text,❓ Untested,❓ Untested,❓ Untested
"openai/gpt-oss-120b",Text,❓ Untested,❓ Untested,❓ Untested
