Model,UnitTest,Accuracy/Correctness,Benchmark
moonshotai/Kimi-K2-Thinking,❓&nbsp;Untested,❓&nbsp;Untested,❓&nbsp;Untested
Qwen/Qwen3-Coder-480B-A35B-Instruct,❓&nbsp;Untested,❓&nbsp;Untested,❓&nbsp;Untested
meta-llama/Llama-3.3-70B-Instruct,✅&nbsp;Passing,✅&nbsp;Passing,✅&nbsp;Passing
Qwen/Qwen3-4B,✅&nbsp;Passing,✅&nbsp;Passing,✅&nbsp;Passing
google/gemma-3-27b-it,✅&nbsp;Passing,✅&nbsp;Passing,✅&nbsp;Passing
Qwen/Qwen3-32B,✅&nbsp;Passing,✅&nbsp;Passing,✅&nbsp;Passing
deepseek-ai/DeepSeek-V3.1,❓&nbsp;Untested,❓&nbsp;Untested,❓&nbsp;Untested
meta-llama/Llama-Guard-4-12B,✅&nbsp;Passing,✅&nbsp;Passing,✅&nbsp;Passing
openai/gpt-oss-120b,❓&nbsp;Untested,❓&nbsp;Untested,❓&nbsp;Untested
meta-llama/Llama-3.1-8B-Instruct,✅&nbsp;Passing,✅&nbsp;Passing,✅&nbsp;Passing
Qwen/Qwen3-30B-A3B,✅&nbsp;Passing,✅&nbsp;Passing,✅&nbsp;Passing
